"start_lat,start_lon,end_lat,end_lon,airline,airport1,airport2,cnt"
"32.89595056,-97.0372,35.04022222,-106.6091944,AA,DFW,ABQ,444"
"41.979595,-87.90446417,30.19453278,-97.66987194,AA,ORD,AUS,166"
"32.89595056,-97.0372,41.93887417,-72.68322833,AA,DFW,BDL,162"
